price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,sqft_living15
365000,4,2.25,2070,8893,2.0,0,0,4,8,1986,0,98058,2390
865000,5,3.0,2900,6730,1.0,0,0,5,8,1977,0,98115,2370
1038000,4,2.5,3770,10893,2.0,0,2,3,11,1997,0,98006,3710
1490000,3,3.5,4560,14608,2.0,0,2,3,12,1990,0,98034,4050
711000,3,2.5,2550,5376,2.0,0,0,3,9,2004,0,98052,2250
211000,4,2.0,1710,8288,1.5,0,0,3,7,1970,0,98031,1710
790000,4,2.5,2690,8036,2.0,0,0,4,9,1987,0,98007,2420
680000,3,2.5,1800,4400,1.0,0,0,5,7,1970,0,98199,1920
384500,3,2.5,1600,2610,2.0,0,0,3,8,2005,0,98027,1445
605000,2,1.0,910,3600,1.0,0,0,4,7,1909,0,98119,1720
638000,3,1.0,1830,4400,1.5,0,0,4,8,1930,0,98122,1650
385000,3,1.75,1930,14389,1.0,0,0,3,7,1963,1998,98155,1730
175000,2,1.0,1410,7000,1.0,0,0,3,7,1968,0,98055,1540
365000,3,2.25,1960,1985,2.0,0,0,3,7,2003,0,98118,1760
160000,3,1.0,1140,3240,1.5,0,0,4,6,1910,0,98014,1140
1070000,4,3.75,4130,12320,2.0,0,0,3,11,2001,0,98059,3690
800000,6,1.0,1430,20620,2.0,0,0,3,7,1954,0,98004,2450
795127,4,3.25,4360,91158,1.0,0,0,3,10,1993,0,98053,3540
355000,4,1.0,1440,7215,1.5,0,0,3,7,1969,0,98034,1150
474000,4,2.25,1960,14834,1.0,0,0,4,8,1976,0,98072,1540
485000,5,2.0,1910,5508,1.0,0,0,3,7,1968,0,98133,1030
930000,4,4.25,5710,24663,2.0,0,0,3,11,2007,0,98092,4060
920000,3,2.75,2590,223027,2.0,0,0,3,9,1983,0,98074,3410
560000,3,1.5,2790,6900,1.0,0,2,3,8,1955,0,98125,2410
654000,3,3.25,1530,1565,2.0,0,0,3,8,2005,0,98122,1530
549000,3,2.25,1920,10961,2.0,0,0,3,8,1981,0,98074,2000
290000,3,1.0,1010,10800,1.0,0,0,4,7,1972,0,98045,1370
275000,1,1.0,520,4800,1.0,0,0,3,5,1930,0,98106,800
329990,4,2.75,2420,8438,2.0,0,0,3,8,1997,0,98022,2270
750000,2,1.5,1110,3600,1.0,0,0,5,7,1904,0,98119,1670
425000,3,2.75,1360,542322,1.0,0,2,4,7,1955,0,98022,1700
515000,3,1.5,2200,7620,1.0,0,0,4,7,1942,0,98177,2170
605000,3,1.75,1850,8823,1.0,0,0,4,8,1973,0,98008,1880
250000,3,2.25,1640,4420,2.0,0,0,4,7,1918,1983,98002,1230
330000,3,1.75,1340,10276,1.0,0,0,4,7,1961,0,98034,2950
984000,4,2.25,2390,12292,1.0,0,0,5,9,1962,0,98040,2870
827500,5,4.25,3920,5823,2.0,0,0,3,9,2000,0,98029,3000
485000,3,2.5,2540,51836,1.0,0,0,4,8,1976,0,98042,1650
306000,3,2.0,1160,7217,1.0,0,0,3,7,1969,0,98034,1870
1890000,4,4.25,4285,9345,2.0,0,0,3,10,2013,0,98004,1570
514000,3,2.25,2260,54014,1.0,0,0,3,7,1962,0,98072,2140
282613,2,1.0,830,6017,1.0,0,0,4,6,1954,0,98133,1340
309000,5,2.75,2481,4045,2.0,0,0,3,8,2014,0,98001,2363
400000,3,2.0,1650,5027,1.5,0,0,3,7,2009,0,98065,2430
310000,3,1.0,1010,9945,1.0,0,0,4,6,1973,0,98065,1390
253200,3,1.0,1360,5840,1.0,0,0,4,5,1953,0,98056,1250
334009,4,2.0,1650,9305,1.0,0,0,4,6,1960,0,98034,1860
500000,3,2.0,1540,3600,1.0,0,0,3,7,1994,0,98122,1540
441500,3,1.75,1510,7700,1.0,0,0,3,7,1968,0,98034,1440
685000,4,2.0,2290,6000,1.5,0,3,5,7,1900,0,98115,2000
327000,4,2.5,1630,5361,2.0,0,0,3,7,1999,0,98144,1920
450000,4,1.75,1520,5250,1.0,0,0,3,6,1949,0,98199,1530
356000,3,3.5,2100,12384,2.0,0,0,3,9,1980,0,98188,2400
525000,3,1.75,1560,6000,1.0,0,0,3,6,1944,0,98199,1560
675000,3,2.5,1300,1590,2.0,0,0,3,8,2014,0,98109,1070
875000,5,4.25,4720,18741,2.0,0,0,3,11,2005,0,98053,3880
345000,3,2.5,1990,20466,1.5,0,0,4,8,1987,0,98010,1660
695000,4,3.0,3150,9130,2.0,0,0,3,9,2001,0,98075,2970
350000,2,1.0,1620,9205,1.0,0,0,5,6,1921,0,98034,2460
695000,4,2.5,2790,6540,2.0,0,0,3,9,1999,0,98074,2790
400000,4,3.0,2320,13068,2.0,0,2,3,8,1998,0,98198,2220
